time_s,I_L_mot_A
4.1149999999999995e-08,0.000892068802340004
4.116e-08,0.0008858379433999998
4.117e-08,0.0008795646225800007
4.1179999999999996e-08,0.000873249135660004
4.119e-08,0.0008668917785199998
4.12e-08,0.0008604928508200007
4.1209999999999996e-08,0.0008540526541200041
4.1219999999999995e-08,0.0008475714897400041
4.123e-08,0.0008410496636799998
4.124e-08,0.0008344874826000007
4.1249999999999995e-08,0.0008278852555000042
4.126e-08,0.0008212432922599999
4.127e-08,0.0008145619061000008
4.1279999999999996e-08,0.0008078414114600043
4.1289999999999995e-08,0.0008010821245600043
4.13e-08,0.0007942843632799998
4.131e-08,0.0007874484486200008
4.1319999999999995e-08,0.0007805747018000044
4.133e-08,0.0007736634456999998
4.134e-08,0.0007667150065400009
4.1349999999999996e-08,0.0007597297117600045
4.1359999999999994e-08,0.0007527078903600045
4.137e-08,0.0007456498722199998
4.138e-08,0.0007385559903400009
4.1389999999999995e-08,0.0007314265786000046
4.14e-08,0.0007242619735599998
4.141e-08,0.0007170625115400009
4.1419999999999996e-08,0.0007098285333200046
4.1429999999999994e-08,0.0007025603791200046
4.144e-08,0.0006952583908199998
4.145e-08,0.0006879229134200009
4.1459999999999995e-08,0.0006805542921400047
4.147e-08,0.0006731528738599998
4.148e-08,0.0006657190085800008
4.1489999999999996e-08,0.0006582530463000048
4.1499999999999994e-08,0.0006507553381200048
4.151e-08,0.0006432262388199998
4.152e-08,0.0006356661028400008
4.1529999999999995e-08,0.0006280752866200048
4.154e-08,0.0006204541483799998
4.155e-08,0.0006128030473400009
4.1559999999999996e-08,0.0006051223439400049
4.1569999999999994e-08,0.0005974124006200049
4.158e-08,0.0005896735813799998
4.159e-08,0.0005819062508800009
4.1599999999999995e-08,0.0005741107761200049
4.161e-08,0.0005662875243199998
4.162e-08,0.0005584368643600009
4.1629999999999996e-08,0.0005505591678000051
4.1639999999999994e-08,0.000542654805300005
4.165e-08,0.0005347241500799997
4.166e-08,0.0005267675763600009
4.1669999999999995e-08,0.0005187854593600051
4.168e-08,0.0005107781759599998
4.169e-08,0.000502746105280001
4.1699999999999996e-08,0.0004946896246400052
4.1709999999999994e-08,0.00048660911560000514
4.172e-08,0.0004785049588199998
